subjectID	optionA	optionB	quantityA	quantityB	sideA
36f1fbb9	War	Frustrated	0	1	left
36f1fbb9	War	Doctor	0	1	left
36f1fbb9	Lake	Cat	1	0	right
36f1fbb9	War	Crow	0	1	left
36f1fbb9	Doctor	Crow	0	1	left
36f1fbb9	Doctor	Fire	1	0	right
36f1fbb9	Crow	Fire	1	0	left
36f1fbb9	Frustrated	Doctor	0	1	right
36f1fbb9	Frustrated	Cat	0	1	left
36f1fbb9	Lake	Frustrated	1	0	left
36f1fbb9	Frustrated	Fire	1	0	left
4f7016a6	Lake	Frustrated	1	0	left
4f7016a6	War	Crow	0	1	right
4f7016a6	Doctor	Crow	0	1	left
4f7016a6	Frustrated	Crow	0	1	right
4f7016a6	Lake	Fire	1	0	left
4f7016a6	Lake	Cat	1	0	right
4f7016a6	War	Fire	0	1	right
4f7016a6	War	Lake	0	1	left
4f7016a6	Frustrated	Fire	0	1	right
4f7016a6	Frustrated	Cat	0	1	right
4f7016a6	Cat	Fire	1	0	left
4f7016a6	Doctor	Cat	0	1	left
4f7016a6	War	Frustrated	0	1	right
4f7016a6	Crow	Cat	0	1	left
4f7016a6	Lake	Crow	1	0	right
4f7016a6	War	Cat	0	1	right
4f7016a6	Doctor	Fire	0	1	left
4f7016a6	Lake	Doctor	1	0	left
4f7016a6	Frustrated	Doctor	1	0	left
4f7016a6	War	Doctor	0	1	right
4f7016a6	Crow	Fire	1	0	left
1cdf6341	Lake	Fire	1	0	left
1cdf6341	War	Cat	0	1	right
1cdf6341	War	Doctor	0	1	left
1cdf6341	War	Fire	0	1	right
1cdf6341	Lake	Crow	1	0	left
1cdf6341	Doctor	Crow	0	1	left
1cdf6341	Doctor	Fire	1	0	left
1cdf6341	Lake	Cat	1	0	right
1cdf6341	War	Lake	0	1	left
1cdf6341	Lake	Frustrated	1	0	right
1cdf6341	War	Crow	0	1	left
1cdf6341	War	Frustrated	0	1	right
1cdf6341	Crow	Fire	1	0	right
1cdf6341	Frustrated	Doctor	0	1	left
1cdf6341	Lake	Doctor	1	0	right
1cdf6341	Crow	Cat	0	1	right
1cdf6341	Frustrated	Fire	1	0	right
1cdf6341	Frustrated	Crow	0	1	right
1cdf6341	Frustrated	Cat	0	1	right
1cdf6341	Cat	Fire	1	0	left
1cdf6341	Doctor	Cat	0	1	right
16de27e0	War	Fire	0	1	left
16de27e0	Frustrated	Doctor	1	0	right
16de27e0	War	Crow	0	1	left
16de27e0	Doctor	Cat	0	1	right
16de27e0	Crow	Cat	0	1	left
16de27e0	Lake	Frustrated	1	0	right
16de27e0	War	Cat	0	1	right
16de27e0	Lake	Crow	1	0	right
16de27e0	Crow	Fire	0	1	right
16de27e0	Cat	Fire	0	1	right
16de27e0	Lake	Fire	0	1	left
16de27e0	Lake	Cat	1	0	left
16de27e0	Doctor	Crow	0	1	left
16de27e0	Lake	Doctor	1	0	right
16de27e0	Frustrated	Crow	0	1	right
16de27e0	War	Lake	0	1	left
16de27e0	War	Doctor	0	1	right
16de27e0	Doctor	Fire	0	1	right
16de27e0	War	Frustrated	0	1	right
16de27e0	Frustrated	Fire	0	1	right
16de27e0	Frustrated	Cat	0	1	left
9948bd85	Frustrated	Fire	0	1	right
9948bd85	Frustrated	Crow	0	1	left
9948bd85	Lake	Cat	1	0	right
9948bd85	Frustrated	Cat	0	1	left
9948bd85	Frustrated	Doctor	0	1	left
9948bd85	Lake	Frustrated	1	0	right
9948bd85	War	Crow	0	1	right
9948bd85	Doctor	Fire	0	1	left
9948bd85	War	Doctor	0	1	right
9948bd85	War	Lake	0	1	right
9948bd85	Lake	Fire	1	0	left
9948bd85	War	Cat	0	1	right
9948bd85	War	Fire	0	1	right
9948bd85	Crow	Cat	0	1	left
9948bd85	Lake	Crow	1	0	right
9948bd85	Doctor	Cat	0	1	right
9948bd85	Cat	Fire	0	1	right
9948bd85	War	Frustrated	0	1	right
9948bd85	Crow	Fire	0	1	left
9948bd85	Doctor	Crow	1	0	left
9948bd85	Lake	Doctor	1	0	right
0264140c	Frustrated	Cat	0	1	left
0264140c	Cat	Fire	1	0	left
0264140c	Doctor	Crow	0	1	right
0264140c	War	Lake	0	1	left
0264140c	Lake	Cat	1	0	left
0264140c	Frustrated	Crow	0	1	left
0264140c	Frustrated	Fire	0	1	right
0264140c	Doctor	Cat	0	1	left
0264140c	Crow	Fire	1	0	left
0264140c	Lake	Frustrated	1	0	left
0264140c	Frustrated	Doctor	0	1	right
0264140c	Lake	Crow	1	0	right
0264140c	Lake	Fire	1	0	left
0264140c	Lake	Doctor	1	0	right
0264140c	War	Frustrated	0	1	right
0264140c	Crow	Cat	1	0	left
0264140c	Doctor	Fire	1	0	right
0264140c	War	Crow	0	1	left
0264140c	War	Doctor	0	1	right
0264140c	War	Fire	0	1	right
0264140c	War	Cat	0	1	left
e8b5e526	Lake	Frustrated	1	0	right
e8b5e526	Cat	Fire	1	0	right
e8b5e526	Lake	Doctor	1	0	right
e8b5e526	War	Fire	1	0	right
e8b5e526	Doctor	Cat	0	1	left
e8b5e526	War	Doctor	1	0	right
e8b5e526	War	Crow	0	1	left
e8b5e526	Crow	Cat	0	1	left
e8b5e526	Doctor	Crow	0	1	right
e8b5e526	War	Frustrated	0	1	left
e8b5e526	Crow	Fire	1	0	right
e8b5e526	Frustrated	Fire	1	0	left
e8b5e526	Doctor	Fire	1	0	right
e8b5e526	Lake	Fire	1	0	right
e8b5e526	Frustrated	Doctor	1	0	right
e8b5e526	War	Cat	0	1	right
e8b5e526	Lake	Cat	0	1	right
e8b5e526	Lake	Crow	1	0	right
e8b5e526	War	Lake	0	1	left
e8b5e526	Frustrated	Cat	0	1	left
e8b5e526	Frustrated	Crow	0	1	left
57ac935c	Doctor	Fire	0	1	left
57ac935c	Crow	Fire	1	0	left
57ac935c	War	Lake	0	1	left
57ac935c	War	Fire	0	1	right
57ac935c	Lake	Doctor	1	0	left
57ac935c	Frustrated	Crow	0	1	right
57ac935c	War	Frustrated	0	1	right
57ac935c	Lake	Frustrated	1	0	right
57ac935c	Frustrated	Fire	0	1	right
57ac935c	Frustrated	Cat	0	1	right
57ac935c	Lake	Cat	0	1	right
57ac935c	War	Doctor	0	1	left
57ac935c	Lake	Fire	1	0	right
57ac935c	War	Crow	0	1	right
57ac935c	Crow	Cat	0	1	left
57ac935c	Doctor	Crow	0	1	left
57ac935c	War	Cat	0	1	left
57ac935c	Doctor	Cat	0	1	right
57ac935c	Lake	Crow	0	1	left
57ac935c	Frustrated	Doctor	1	0	left
57ac935c	Cat	Fire	1	0	left
2aa5e0b3	War	Crow	0	1	right
2aa5e0b3	War	Frustrated	0	1	left
2aa5e0b3	Frustrated	Fire	1	0	right
2aa5e0b3	Frustrated	Crow	0	1	left
2aa5e0b3	War	Cat	0	1	left
2aa5e0b3	Frustrated	Cat	0	1	right
