subjectID	optionA	optionB	quantityA	quantityB	sideA
ro_sw_4	AppleJuice	quinine	0	44	right
ro_sw_4	AppleJuice	quinine	53	1	left
ro_we_4	AppleJuice	quinine	0	40	right
ro_we_4	AppleJuice	quinine	40	1	left
sw_ge_4	AppleJuice	quinine	48	1	right
sw_ge_4	AppleJuice	quinine	71	1	left
sw_ro_4	AppleJuice	quinine	57	0	right
sw_ro_4	AppleJuice	quinine	42	1	left
sw_si_4	AppleJuice	quinine	52	1	right
sw_si_4	AppleJuice	quinine	63	1	left
sw_we_4	AppleJuice	quinine	51	1	right
sw_we_4	AppleJuice	quinine	45	1	left
we_ge_4	AppleJuice	quinine	46	1	right
we_ge_4	AppleJuice	quinine	50	1	left
we_si_4	AppleJuice	quinine	49	0	right
we_si_4	AppleJuice	quinine	50	1	left
we_sw_4	AppleJuice	quinine	52	1	right
we_sw_4	AppleJuice	quinine	40	1	left
ro_ge_4	HCl	water	0	37	right
ro_ge_4	HCl	water	8	14	left
ro_si_4	HCl	water	0	26	right
ro_si_4	HCl	water	2	45	left
ro_sw_4	HCl	water	1	55	right
ro_sw_4	HCl	water	3	38	left
ro_we_4	HCl	water	0	32	right
ro_we_4	HCl	water	2	37	left
sw_ge_4	HCl	water	2	44	right
sw_ge_4	HCl	water	0	51	left
sw_ro_4	HCl	water	4	26	right
sw_ro_4	HCl	water	6	28	left
sw_si_4	HCl	water	0	48	right
sw_si_4	HCl	water	8	28	left
sw_we_4	HCl	water	0	31	right
sw_we_4	HCl	water	5	23	left
we_ge_4	HCl	water	0	38	right
we_ge_4	HCl	water	0	49	left
we_si_4	HCl	water	0	41	right
we_si_4	HCl	water	4	43	left
we_sw_4	HCl	water	0	47	right
we_sw_4	HCl	water	2	40	left
